Time and Date, temperature (ºC), temperature (ºF), humidity (%), pressure (hPa)
08:37:30 22/09/2024, 29.73, 85.52, 48.97, 1004.57
08:37:40 22/09/2024, 29.59, 85.27, 49.35, 1004.56
08:37:50 22/09/2024, 29.53, 85.15, 49.47, 1004.54
08:38:00 22/09/2024, 29.41, 84.94, 49.92, 1004.59
08:38:10 22/09/2024, 29.29, 84.73, 50.08, 1004.54
08:38:20 22/09/2024, 29.21, 84.58, 50.45, 1004.57
08:38:30 22/09/2024, 29.13, 84.44, 50.63, 1004.53
08:38:40 22/09/2024, 29.09, 84.36, 50.98, 1004.57
08:38:50 22/09/2024, 29.01, 84.22, 50.97, 1004.55
08:39:00 22/09/2024, 28.98, 84.16, 51.00, 1004.56
08:39:06 22/09/2024, 28.97, 84.15, 50.99, 1004.60
08:39:11 22/09/2024, -142.56, -224.60, 0.00, 481.77
08:39:16 22/09/2024, 28.97, 84.15, 51.04, 1004.52
08:39:21 22/09/2024, 28.95, 84.11, 51.05, 1004.53
08:39:26 22/09/2024, 28.93, 84.08, 51.07, 1004.54
08:39:31 22/09/2024, 28.93, 84.07, 51.13, 1004.50
08:39:36 22/09/2024, 28.91, 84.04, 51.22, 1004.52
08:39:41 22/09/2024, 28.90, 84.02, 100.00, 1004.56
08:41:44 22/09/2024, 29.41, 84.94, 56.13, 1004.48
08:41:49 22/09/2024, 29.26, 84.67, 51.48, 1004.49
08:41:54 22/09/2024, 29.21, 84.59, 50.91, 1004.47
08:41:59 22/09/2024, 29.14, 84.46, 50.90, 1004.47
08:42:04 22/09/2024, 29.06, 84.31, 50.90, 1004.44
08:42:09 22/09/2024, 28.98, 84.16, 51.01, 1004.53
08:42:14 22/09/2024, 28.93, 84.08, 50.99, 1004.56
08:42:19 22/09/2024, 28.90, 84.02, 51.00, 1004.48
08:42:24 22/09/2024, 28.88, 83.99, 50.97, 1004.46
08:42:29 22/09/2024, 28.88, 83.98, 51.04, 1004.53
08:42:34 22/09/2024, 28.85, 83.94, 51.17, 1004.57
08:42:39 22/09/2024, 28.85, 83.94, 51.12, 1004.49
08:42:44 22/09/2024, 28.84, 83.92, 51.07, 1004.47
08:42:49 22/09/2024, 28.82, 83.88, 51.11, 1004.58
08:42:54 22/09/2024, 28.79, 83.83, 51.21, 1004.53
08:42:59 22/09/2024, 28.80, 83.84, 51.16, 1004.51
08:43:04 22/09/2024, 28.78, 83.80, 51.21, 1004.45
08:43:09 22/09/2024, 28.77, 83.79, 51.27, 1004.50
08:43:14 22/09/2024, 28.76, 83.77, 51.33, 1004.48
08:43:19 22/09/2024, 28.75, 83.75, 51.37, 1004.49
08:43:24 22/09/2024, 28.76, 83.76, 51.39, 1004.50
08:43:29 22/09/2024, 28.75, 83.75, 51.40, 1004.51
08:43:34 22/09/2024, 28.77, 83.78, 51.43, 1004.46
08:43:39 22/09/2024, 28.79, 83.82, 51.37, 1004.55
08:43:44 22/09/2024, 28.77, 83.78, 51.38, 1004.44
08:43:49 22/09/2024, 28.76, 83.76, 51.34, 1004.53
08:43:54 22/09/2024, 28.75, 83.75, 51.40, 1004.54
08:43:59 22/09/2024, 28.77, 83.78, 51.38, 1004.52
08:44:04 22/09/2024, 28.77, 83.78, 51.35, 1004.49
08:44:09 22/09/2024, 28.77, 83.79, 51.36, 1004.50
08:44:14 22/09/2024, 28.76, 83.76, 51.37, 1004.53
08:44:19 22/09/2024, 28.75, 83.76, 51.36, 1004.47
08:44:24 22/09/2024, 28.75, 83.75, 51.37, 1004.51
08:44:29 22/09/2024, 28.74, 83.73, 51.42, 1004.52
08:44:34 22/09/2024, 28.72, 83.70, 51.35, 1004.50
08:44:39 22/09/2024, 28.71, 83.67, 51.32, 1004.50
08:44:44 22/09/2024, 28.69, 83.65, 51.17, 1004.45
08:44:49 22/09/2024, 28.70, 83.67, 51.26, 1004.49
08:44:54 22/09/2024, 28.67, 83.61, 51.15, 1004.45
08:44:59 22/09/2024, 28.70, 83.66, 51.31, 1004.46
08:45:04 22/09/2024, 28.69, 83.65, 51.37, 1004.51
08:45:10 22/09/2024, 28.67, 83.60, 51.42, 1004.49
08:45:15 22/09/2024, 28.70, 83.66, 51.40, 1004.51
08:45:20 22/09/2024, 28.69, 83.65, 51.37, 1004.56
08:45:25 22/09/2024, 28.67, 83.60, 51.33, 1004.55
08:45:30 22/09/2024, 28.66, 83.58, 51.42, 1004.53
08:45:35 22/09/2024, 28.63, 83.54, 51.49, 1004.44
08:45:40 22/09/2024, 28.65, 83.57, 51.54, 1004.46
08:45:45 22/09/2024, 28.63, 83.54, 51.52, 1004.46
08:45:50 22/09/2024, 28.62, 83.51, 51.51, 1004.47
08:45:55 22/09/2024, 28.61, 83.50, 51.54, 1004.46
08:46:00 22/09/2024, 28.62, 83.51, 51.50, 1004.44
08:46:05 22/09/2024, 28.58, 83.45, 51.45, 1004.44
08:46:10 22/09/2024, 28.61, 83.49, 51.53, 1004.48
08:46:15 22/09/2024, 28.59, 83.46, 51.54, 1004.45
08:46:20 22/09/2024, 28.59, 83.46, 51.49, 1004.50
08:46:25 22/09/2024, 28.58, 83.44, 51.49, 1004.48
08:46:30 22/09/2024, 28.55, 83.39, 51.55, 1004.44
08:46:35 22/09/2024, 28.56, 83.40, 51.59, 1004.51
08:46:40 22/09/2024, 28.56, 83.41, 51.53, 1004.43
08:46:45 22/09/2024, 28.53, 83.35, 51.52, 1004.43
08:46:50 22/09/2024, 28.52, 83.34, 51.73, 1004.50
08:46:55 22/09/2024, 28.52, 83.33, 51.68, 1004.52
08:47:00 22/09/2024, 28.49, 83.29, 51.66, 1004.46
08:47:05 22/09/2024, 28.50, 83.31, 51.70, 1004.55
08:47:10 22/09/2024, 28.50, 83.30, 51.61, 1004.46
08:47:15 22/09/2024, 28.49, 83.29, 51.62, 1004.48
08:47:20 22/09/2024, 28.48, 83.26, 51.47, 1004.43
08:47:25 22/09/2024, 28.46, 83.22, 51.42, 1004.43
08:47:30 22/09/2024, 28.45, 83.21, 51.60, 1004.47
08:47:35 22/09/2024, 28.45, 83.21, 51.56, 1004.49
08:47:40 22/09/2024, 28.43, 83.18, 51.55, 1004.44
08:47:45 22/09/2024, 28.41, 83.14, 51.84, 1004.44
08:47:50 22/09/2024, 28.39, 83.11, 51.79, 1004.40
08:47:55 22/09/2024, 28.38, 83.08, 51.86, 1004.38
08:48:00 22/09/2024, 28.38, 83.09, 51.86, 1004.42
08:48:05 22/09/2024, 28.38, 83.09, 51.83, 1004.39
08:48:10 22/09/2024, 28.38, 83.09, 51.89, 1004.42
08:48:15 22/09/2024, 28.38, 83.08, 51.83, 1004.35
08:48:20 22/09/2024, 28.39, 83.11, 51.87, 1004.43
08:48:25 22/09/2024, 28.40, 83.12, 51.80, 1004.41
08:48:30 22/09/2024, 28.41, 83.13, 51.74, 1004.43
08:48:35 22/09/2024, 28.40, 83.12, 51.79, 1004.44
08:48:40 22/09/2024, 28.41, 83.14, 51.87, 1004.41
08:48:45 22/09/2024, 28.40, 83.13, 51.96, 1004.34
08:48:50 22/09/2024, 28.42, 83.16, 51.95, 1004.43
08:48:55 22/09/2024, 28.43, 83.18, 52.01, 1004.44
08:49:00 22/09/2024, 28.45, 83.21, 51.91, 1004.41
08:49:06 22/09/2024, 28.44, 83.20, 51.88, 1004.38
08:49:11 22/09/2024, 28.44, 83.20, 51.92, 1004.40
08:49:16 22/09/2024, 28.46, 83.23, 52.05, 1004.46
08:49:21 22/09/2024, 28.46, 83.23, 52.11, 1004.44
08:49:26 22/09/2024, 28.45, 83.22, 52.13, 1004.39
08:49:31 22/09/2024, 28.46, 83.22, 52.14, 1004.43
08:49:36 22/09/2024, 28.45, 83.21, 52.00, 1004.41
08:49:41 22/09/2024, 28.44, 83.20, 51.99, 1004.43
08:49:46 22/09/2024, 28.44, 83.19, 52.10, 1004.40
08:49:51 22/09/2024, 28.43, 83.17, 52.10, 1004.38
08:49:56 22/09/2024, 28.42, 83.16, 52.16, 1004.40
08:50:01 22/09/2024, 28.43, 83.17, 52.19, 1004.38
08:50:06 22/09/2024, 28.44, 83.20, 52.21, 1004.46
08:50:11 22/09/2024, 28.44, 83.20, 52.24, 1004.43
08:50:16 22/09/2024, 28.44, 83.20, 52.31, 1004.46
08:50:21 22/09/2024, 28.45, 83.21, 52.28, 1004.41
08:50:26 22/09/2024, 28.44, 83.20, 52.28, 1004.43
08:50:31 22/09/2024, 28.45, 83.21, 52.15, 1004.47
08:50:36 22/09/2024, 28.45, 83.22, 51.97, 1004.42
08:50:41 22/09/2024, 28.44, 83.19, 52.04, 1004.45
08:50:46 22/09/2024, 28.45, 83.21, 52.02, 1004.41
08:50:51 22/09/2024, 28.45, 83.22, 52.16, 1004.37
08:50:56 22/09/2024, 28.45, 83.21, 52.29, 1004.38
08:51:01 22/09/2024, 28.45, 83.22, 52.32, 1004.42
08:51:06 22/09/2024, 28.45, 83.22, 52.65, 1004.39
08:51:11 22/09/2024, 28.46, 83.23, 52.60, 1004.35
08:51:16 22/09/2024, 28.48, 83.26, 52.49, 1004.38
08:51:21 22/09/2024, 28.47, 83.25, 52.37, 1004.42
08:51:26 22/09/2024, 28.48, 83.26, 52.17, 1004.32
08:51:31 22/09/2024, 28.47, 83.25, 52.16, 1004.40
08:51:36 22/09/2024, 28.47, 83.24, 52.09, 1004.36
08:51:41 22/09/2024, 28.46, 83.23, 52.08, 1004.35
08:51:46 22/09/2024, 28.47, 83.25, 52.15, 1004.34
08:51:51 22/09/2024, 28.44, 83.20, 51.84, 1004.35
08:51:56 22/09/2024, 28.42, 83.15, 51.77, 1004.31
08:52:01 22/09/2024, 28.43, 83.17, 51.88, 1004.35
08:52:06 22/09/2024, 28.44, 83.19, 51.95, 1004.37
08:52:11 22/09/2024, 28.44, 83.19, 52.11, 1004.31
08:52:16 22/09/2024, 28.44, 83.20, 52.14, 1004.29
08:52:21 22/09/2024, 28.45, 83.21, 52.03, 1004.33
08:52:26 22/09/2024, 28.46, 83.22, 51.96, 1004.32
08:52:31 22/09/2024, 28.44, 83.20, 51.92, 1004.35
08:52:36 22/09/2024, 28.45, 83.21, 51.94, 1004.28
08:52:41 22/09/2024, 28.45, 83.21, 51.93, 1004.36
08:52:47 22/09/2024, 28.45, 83.21, 51.95, 1004.38
08:52:52 22/09/2024, 28.45, 83.22, 51.91, 1004.34
08:52:57 22/09/2024, 28.45, 83.21, 52.11, 1004.30
08:53:02 22/09/2024, 28.44, 83.19, 52.11, 1004.34
08:53:07 22/09/2024, 28.44, 83.20, 52.13, 1004.32
08:53:12 22/09/2024, 28.43, 83.17, 52.05, 1004.30
08:53:17 22/09/2024, 28.43, 83.18, 52.07, 1004.31
08:53:22 22/09/2024, 28.43, 83.18, 52.19, 1004.39
08:53:27 22/09/2024, 28.43, 83.18, 52.09, 1004.36
08:53:32 22/09/2024, 28.43, 83.18, 52.21, 1004.33
08:53:37 22/09/2024, 28.43, 83.17, 52.02, 1004.33
08:53:42 22/09/2024, 28.44, 83.19, 51.95, 1004.40
08:53:47 22/09/2024, 28.44, 83.19, 52.01, 1004.31
08:53:52 22/09/2024, 28.43, 83.18, 52.13, 1004.31
08:53:57 22/09/2024, 28.43, 83.17, 52.11, 1004.30
08:54:02 22/09/2024, 28.42, 83.16, 52.10, 1004.34
08:54:07 22/09/2024, 28.43, 83.17, 52.16, 1004.35
08:54:12 22/09/2024, 28.42, 83.16, 52.26, 1004.26
08:54:17 22/09/2024, 28.40, 83.12, 52.22, 1004.28
08:54:22 22/09/2024, 28.40, 83.12, 52.13, 1004.33
08:54:27 22/09/2024, 28.39, 83.11, 52.22, 1004.27
08:54:32 22/09/2024, 28.41, 83.14, 52.16, 1004.27
08:54:37 22/09/2024, 28.41, 83.13, 52.18, 1004.32
08:54:42 22/09/2024, 28.40, 83.13, 52.17, 1004.31
08:54:47 22/09/2024, 28.41, 83.13, 52.17, 1004.27
08:54:52 22/09/2024, 28.38, 83.09, 52.24, 1004.31
08:54:57 22/09/2024, 28.39, 83.10, 52.22, 1004.32
08:55:02 22/09/2024, 28.36, 83.05, 52.19, 1004.22
08:55:07 22/09/2024, 28.36, 83.05, 52.28, 1004.28
08:55:12 22/09/2024, 28.37, 83.06, 52.26, 1004.31
08:55:17 22/09/2024, 28.35, 83.03, 52.31, 1004.31
